name;protein;fat;carbs;kcal
Actimel Гранат;2,7;1,5;11,5;70,3
Actimel Земляника и шиповник;2,7;1,5;11,5;70,3
Actimel Клубника;2,7;1,5;11,5;70,3
Actimel Малина и клюква;2,7;1,5;11,5;70,3
Actimel Мультифрукт;2,7;1,5;12,0;72,3
Actimel Натуральный;2,8;1,6;10,5;67,6
Actimel Черника и ежевика;2,9;1,5;11,5;71,1
Neo Имунеле Natural;1,8;0,9;11,8;62,5
Neo Имунеле Гранат-Вишня;2,5;1,2;12,4;70,4
Neo Имунеле Клюква-Малина;2,5;1,2;12,6;71,2
Neo Имунеле Лесные ягоды;2,5;1,2;13,1;73,2
Абрикос;0,9;0,1;9,0;40,5
Абрикос консервированный;0,4;0,1;15,5;64,5
Абрикосовый компот;0,5;0,0;21,0;86,0
Абрикосовый сок;0,9;0,1;9,0;40,5
Авокадо;2,0;14,0;8,0;166,0
Аджика;1,0;3,7;5,8;60,5
Айва;0,6;0,5;9,6;45,3
Айран (тан) негазированный;1,1;1,5;1,4;23,5
Акула катран;19,9;7,0;0,0;142,6
Алыча;0,2;0,1;7,9;33,3
Амарант;13,6;7,0;69,0;393,4
Ананас;0,4;0,2;14,1;59,8
Ананас консервированный;0,1;0,1;14,0;57,3
Ананасовый сок;0,3;0,1;11,4;47,7
Анчоус атлантический;20,1;6,1;0,0;135,3
Анчоусы консервированные;20,1;6,1;0,0;135,3
Апельсин;0,9;0,2;8,1;37,8
Апельсиновый сок;0,9;0,2;8,1;37,8
Арахис;26,3;45,2;9,9;551,6
Арахисовая паста;25,0;50,0;20,0;630,0
Арбуз;0,6;0,1;5,8;26,5
Артишок;1,2;0,1;6,0;29,7
Багет;7,5;2,9;51,4;261,7
Баклажан;1,2;0,1;4,5;23,7
Баклажанная икра свежая;0,6;7,0;6,0;89,4
Бамия;2,0;0,1;3,8;24,1
Банан;1,5;0,5;21,0;94,5
Бананы сушёные;3,9;1,8;80,5;353,8
Бараний окорок;18,0;18,0;0,0;234,0
Баранина;15,6;16,3;0,0;209,1
Баранина вареная;24,6;21,4;0,0;291,0
Баранина жареная;20,0;24,0;0,0;296,0
Баранина тушеная;20,0;20,9;0,0;268,1
Бараньи почки;13,6;2,5;0,0;76,9
Баранья печень;18,7;2,9;0,0;100,9
Барбарис;0,0;0,0;7,9;31,6
Батон Нарезной;7,5;2,9;50,9;259,7
Батончик протеиновый шоколад;33,3;7,1;5,8;220,3
Бефстроганов из говядины;16,7;11,3;5,9;192,1
Блины;6,1;12,3;26,0;239,1
Бобы;6,0;0,1;8,5;58,9
Брокколи;2,5;0,5;5,0;34,5
Брусника;0,7;0,5;9,6;45,7
Брюква;1,2;0,1;7,7;36,5
Буженина вареная;16,4;18,3;1,0;234,3
Буйволятина;19,0;13,2;0,0;194,8
Булгур;12,3;1,3;57,6;291,3
Булгур приготовленный;3,1;0,2;14,1;70,6
Бульон куриный;2,0;0,5;0,3;13,7
Бычки в томатном соусе;17,5;2,0;0,0;88,0
Ванилин;0,1;0,1;12,7;52,1
Вареники с картофелем;4,4;3,7;18,5;124,9
Вермишель яичная;11,3;2,1;69,6;342,5
Ветчина;14,0;24,0;0,0;272,0
Ветчина из индейки обезжиренная;15,0;1,0;2,0;77,0
Вешенки свежие;2,5;0,3;6,5;38,7
Вино белое сухое;0,1;0,0;0,6;2,8
Вино красное сухое;0,2;0,0;0,3;2,0
Виноград;0,6;0,2;16,8;71,4
Вишня;0,8;0,2;10,6;47,4
Вобла свежая;18,0;2,8;0,0;97,2
Вода;0,0;0,0;0,0;0,0
Водка;0,0;0,0;0,1;0,4
Водоросли бурые;1,7;0,6;8,3;45,4
Воздушный рис;6,3;0,5;89,8;388,9
Гематоген;6,0;3,0;75,7;353,8
Глюкоза;0,1;0,0;98,2;393,2
Говядина;18,9;12,4;0,0;187,2
Говядина вареная;25,8;16,8;0,0;254,4
Говядина жареная;32,7;28,1;0,0;383,7
Говядина постная;22,2;7,1;0,0;152,7
Говядина тушеная;16,8;18,3;0,0;231,9
Говяжий гуляш;14,0;9,2;2,6;149,2
Говяжий рубец;14,8;4,2;0,0;97,0
Говяжий фарш;17,2;20,0;0,0;248,8
Говяжий фарш 10%;18,0;10,0;0,0;162,0
Говяжий язык;12,2;10,9;0,0;146,9
Говяжий язык вареный;23,9;15,0;0,0;230,6
Говяжье сердце;16,0;3,5;0,0;95,5
Говяжьи почки;15,2;2,8;0,0;86,0
Говяжья вырезка;18,6;16,0;0,0;218,4
Говяжья печень;20,0;3,1;4,0;123,9
Говяжья печень вареная;19,4;3,4;3,0;120,2
Голавль;17,8;5,6;0,0;121,6
Голубика;0,7;0,3;14,0;61,5
Горбуша свежая;20,5;6,5;0,0;140,5
Горбуша отварная;22,9;7,8;0,0;161,8
Горбуша солёная;22,1;9,0;0,0;169,4
Горох варёный;6,0;0,0;9,0;60,0
Горох лущеный;23,0;1,6;57,7;337,2
Горошек зелёный;5,0;0,2;13,8;77,0
Горошек зелёный консервированный;3,6;0,1;9,8;54,5
Горчица;5,7;6,4;22,0;168,4
Гранат;0,7;0,6;14,5;66,2
Гранатовый сок;0,3;0,0;14,5;59,2
Грейпфрут;0,7;0,2;6,5;30,6
Грецкие орехи;15,0;65,0;14,0;701,0
Грецкий орех;15,2;65,2;7,0;675,6
Гречка;12,6;3,3;62,0;328,1
Гречневая каша вязкая на воде;3,2;0,8;17,1;88,4
Гречневая каша из крупы ядрица;3,0;3,4;14,6;101,0
Гречневая крупа (ядрица);12,6;3,3;62,1;328,5
Гречневые хлопья;9,0;2,4;67,0;325,6
Груша;0,4;0,3;10,3;45,5
Груша сушеная;2,3;0,0;55,0;229,2
Груши сушёные;2,3;0,6;62,6;265,0
Гуава;2,6;1,0;14,3;76,6
Дайкон;1,2;0,0;4,1;21,2
Дрожжи;12,7;2,7;0,0;75,1
Дыня;0,6;0,3;7,4;34,7
Ежевика;1,5;0,5;4,0;26,5
Желатин пищевой;87,2;0,4;0,7;355,2
Жир рыбий;0,0;100,0;0,0;900,0
Завтрак сухой Geneticlab True Breakfast;50,0;2,0;32,0;346,0
Запеканка творожная;17,6;4,2;14,2;165,0
Запечённая куриная грудка;20,0;4,0;0,0;116,0
Зелень;2,6;0,4;5,2;34,8
Земляника;0,8;0,4;7,5;36,8
Зефир;0,8;0,0;78,5;317,2
Зубатка отварная;15,5;5,8;0,0;114,2
Изюм;2,9;0,6;66,0;281,0
Икра кеты зернистая;31,6;13,8;0,0;250,6
Икра лососевая зернистая;32,0;15,0;0,0;263,0
Икра осетровая зернистая;28,0;9,7;0,0;199,3
Имбирь;1,8;0,8;17,8;85,6
Индейка вареная;25,3;10,4;0,0;194,8
Индейка грудка;19,2;0,7;0,0;83,1
Индейка жареная;28,0;6,0;0,0;166,0
Индейка фарш;20,0;8,0;0,5;154,0
Индейка филе;23,0;3,0;0,0;119,0
Индейка филе отварное;25,0;1,0;0,0;109,0
Инжир;0,7;0,2;13,7;59,4
Инжир сушеный;3,1;0,8;57,9;251,2
Йогурт греческий;5,0;3,2;3,5;62,8
Йогурт греческий 5%;9,0;5,0;4,0;97,0
Йогурт натуральный 2%;4,3;2,0;6,2;60,0
Кабачок;0,6;0,3;4,6;23,5
Какао-порошок;24,2;17,5;31,9;381,9
Кальмары;18,0;2,2;2,0;99,8
Кальмары отварные;21,2;2,8;2,0;118,0
Камбала отварная;18,3;3,3;0,0;102,9
Капуста белокочанная;1,8;0,1;4,7;26,9
Капуста брокколи;2,6;0,3;3,8;28,3
Капуста брюссельская;4,0;0,6;9,6;59,8
Капуста квашеная;1,8;0,1;4,4;25,7
Капуста краснокочанная;0,8;0,0;7,6;33,6
Капуста пекинская;1,2;0,2;2,0;14,6
Капуста цветная;2,5;0,3;5,4;34,3
Карась свежий;17,7;1,8;0,0;87,0
Карп свежий;16,0;5,3;0,0;111,7
Картофель;2,0;0,4;16,3;76,8
Картофель варёный;2,0;0,4;16,7;78,4
Картофель отварной;2,0;0,4;17,5;81,6
Картофельное пюре;2,5;4,2;14,7;106,6
Каша гречневая на воде;3,2;0,8;17,1;88,4
Каша манная на молоке;3,0;3,2;15,3;102,0
Каша овсяная на воде;3,0;1,7;15,0;87,3
Каша овсяная на молоке;3,2;4,1;14,2;106,5
Каша пшеничная;11,5;1,3;62,0;305,7
Каша рисовая на воде;1,5;0,1;17,4;76,5
Каша рисовая на молоке;2,5;3,1;16,0;101,9
Кедровые орехи;15,6;56,0;28,4;680,0
Кефаль свежая;21,0;0,4;0,0;87,6
Кефир 1%;2,8;1,0;4,0;36,2
Кефир 2.5%;2,9;2,5;4,0;50,1
Кефир 3.2%;2,8;3,2;4,1;56,4
Кешью жареный;17,5;42,2;30,5;571,8
Кешью необжаренный;17,5;42,5;30,5;574,5
Кижуч;21,6;6,0;0,0;140,4
Киноа;14,1;6,1;57,2;340,1
Кисломолочные продукты;3,0;2,5;4,0;50,0
Киви;0,8;0,4;8,0;38,8
Клубника;0,7;0,3;7,7;36,1
Клюква;0,5;0,2;3,7;18,6
Колбаса вареная Докторская;12,8;22,2;1,5;257,0
Конина;20,2;7,0;0,0;143,8
Конина вареная;30,8;13,0;0,0;240,2
Корюшка;15,4;4,5;0,0;102,1
Котлеты из говядины;18,0;20,0;0,0;252,0
Котлеты из индейки;18,6;12,2;8,7;219,0
Котлеты из курицы (готовые);18,2;10,4;13,8;221,6
Кофе натуральный молотый сухой;13,9;14,4;4,1;201,6
Краб камчатский;18,3;0,6;0,0;78,6
Крабовые палочки;6,0;1,0;10,0;73,0
Креветки;22,0;1,0;0,0;97,0
Креветки отварные;18,9;2,2;0,0;95,4
Кролик;21,0;8,0;0,0;156,0
Кролик жареный;25,0;6,0;0,0;154,0
Куриная голень;18,0;14,0;0,0;198,0
Куриная грудка;23,6;1,9;0,4;113,1
Куриная грудка вареная;29,8;1,8;0,5;137,4
Куриная печень;20,4;5,9;0,7;137,5
Куриное бедро без кожи;18,0;8,0;0,0;144,0
Куриное филе;23,1;1,2;0,0;103,2
Куриное филе вареное;30,4;3,5;0,0;153,1
Куриные желудки;18,2;4,2;0,6;113,0
Куриные окорочка;16,8;10,2;0,0;159,0
Куриный бульон;2,0;0,5;0,3;13,7
Куриный фарш;17,4;8,1;0,0;142,5
Курица;16,0;14,0;0,0;190,0
Курица вареная (без кожи);25,2;7,4;0,0;167,4
Курица жареная;26,0;12,0;0,0;212,0
Курица копченая;27,5;8,2;0,0;183,8
Кускус приготовленный;3,8;0,2;21,8;104,2
Кускус сухой;12,8;0,6;72,4;346,2
Лаваш армянский;7,9;1,0;47,6;231,0
Лангуст (мясо шеек);17,5;2,0;0,0;88,0
Лапша рисовая;7,0;0,0;79,0;344,0
Лещ свежий;17,1;4,1;0,0;105,3
Лимон;0,9;0,1;3,0;16,5
Лимонный сок;0,9;0,1;3,0;16,5
Лосось консервированный;20,6;6,3;0,0;139,1
Лосось копчёный;21,5;8,4;0,0;161,6
Лосось свежий;19,8;6,3;0,0;135,9
Лосось солёный;23,0;13,0;0,0;209,0
Лук зелёный;1,3;0,1;3,2;18,9
Лук порей;2,0;0,0;8,2;40,8
Лук репчатый;1,4;0,2;8,0;39,4
Майонез Провансаль;3,1;67,0;2,6;625,8
Макароны твердые;12,0;1,5;70,0;341,5
Малина;1,2;0,7;5,4;32,7
Манго;0,5;0,3;11,5;50,7
Манная крупа;10,3;1,0;67,4;319,8
Маргарин сливочный;0,5;82,0;0,0;740,0
Масло оливковое;0,0;99,8;0,0;898,2
Масло подсолнечное;0,0;99,9;0,0;899,1
Масло сливочное;0,5;82,5;0,8;747,7
Мёд;0,8;0,0;81,5;329,2
Минтай (филе);16,0;1,0;0,0;73,0
Минтай отварной;17,6;1,0;0,0;79,4
Минтай свежий;15,9;0,9;0,0;71,7
Мисо;12,3;5,5;24,6;197,1
Молоко 2.5%;2,8;2,5;4,7;52,5
Молоко козье;3,6;3,3;4,8;63,3
Молоко сгущённое с сахаром;7,2;8,5;56,0;329,3
Морковный сок;1,1;0,1;6,4;30,9
Морковь;1,3;0,1;6,9;33,7
Морковь варёная;0,8;0,3;5,0;25,9
Морская капуста;0,8;5,1;0,0;49,1
Мука пшеничная;9,2;1,2;74,9;347,2
Мука пшеничная высшего сорта;10,3;1,1;68,9;326,7
Мука цельнозерновая;11,5;2,2;55,8;289,0
Мускатный орех;20,0;50,0;7,0;558,0
Мясо нутрии;18,0;4,6;0,2;114,2
Налим свежий;18,8;0,6;0,0;80,6
Нут;20,1;4,3;46,2;303,9
Нут вареный;8,3;1,9;19,3;127,5
Нут консервированный;7,2;3,4;19,5;137,4
Овсяная крупа;12,3;6,1;59,5;342,1
Овсяные хлопья;11,9;7,2;69,3;389,6
Огурец;0,8;0,1;2,5;14,1
Окунь морской свежий;15,3;1,5;0,0;74,7
Оленина;19,5;8,5;0,0;154,5
Оленина вареная;30,8;11,2;0,0;224,0
Омлет;10,3;17,0;1,6;200,6
Орехи;15,0;40,0;20,0;500,0
